#,Team,M,W,D,L,Goals,Diff,Pts
1,FC Barcelona,26,21,3,2,69:21,48,66
2,Atlético Madrid,26,18,4,4,36:11,25,58
3,Real Madrid,26,16,6,4,71:25,46,54
4,Villarreal CF,26,15,7,4,33:18,15,52
5,Sevilla FC,26,11,8,7,37:28,9,41
6,Celta Vigo,26,12,5,9,39:44,-5,41
7,Athletic Bilbao,26,11,5,10,38:35,3,38
8,SD Eibar,26,10,6,10,40:35,5,36
9,Real Sociedad,26,9,7,10,36:35,1,34
10,Deportivo La Coruña,26,6,14,6,33:32,1,32
11,Málaga CF,26,8,8,10,23:23,0,32
12,Valencia CF,26,7,10,9,30:29,1,31
13,Real Betis,26,6,10,10,21:36,-15,28
14,Espanyol Barcelona,26,8,4,14,26:50,-24,28
15,Getafe CF,26,7,5,14,26:40,-14,26
16,Rayo Vallecano,26,6,8,12,36:53,-17,26
17,UD Las Palmas,26,6,6,14,25:40,-15,24
18,Sporting Gijón,26,6,6,14,30:46,-16,24
19,Granada CF,26,6,5,15,27:51,-24,23
20,Levante UD,26,5,5,16,24:48,-24,20
